"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AFF3",5.21778811944132,-0.797768014920418,0.118548795021779,-6.72944853445248,1.7030731038458e-11,3.76397667614094e-09
"UBE2S",52.9044046457682,0.71707333753726,0.10658613440449,6.72764184144251,1.72434716674461e-11,3.77001623026002e-09
"BCL2L12",5.86175262370963,0.876651959253352,0.130514920121796,6.71687159165607,1.85667444539995e-11,4.01614484024651e-09
"ACBD5",25.9916421396256,-0.512557677162925,0.0764527883168354,-6.70423784988437,2.02460261136274e-11,4.33322758918191e-09
"HMGN1",143.147519428603,0.705596629524813,0.105270342230082,6.7027105125453,2.04588525333922e-11,4.33322758918191e-09
"CRTAC1",17.5369641778608,-1.39019452155875,0.207557310049871,-6.69788272561789,2.11460853805776e-11,4.43261189735344e-09
"FADS1",36.238089211575,-0.597930186058753,0.0893036937462007,-6.69546981738582,2.14979817095684e-11,4.43666573346097e-09
"GEMIN7",11.4270498559299,0.508487650445818,0.0759697026682183,6.69329525569596,2.18200252469432e-11,4.43666573346097e-09
"HEXB",47.0574769726761,0.714476108816892,0.106728975645686,6.69430306525924,2.16701898641714e-11,4.43666573346097e-09
"TIMP1",419.130343364928,1.83696073439897,0.274613876619376,6.68924949100465,2.243180186228e-11,4.51589927985881e-09
"AK2",58.2968224950571,0.440336125208482,0.0658625061904411,6.68568736111031,2.2984324582536e-11,4.5817673699677e-09
"SRSF9",94.6372450979944,0.382625968474651,0.0573299059097722,6.67410773492007,2.48740844108006e-11,4.91033745946415e-09
"AMZ1",2.99485503337948,-1.3162493168725,0.197270270213483,-6.67231466478997,2.51799944420181e-11,4.92293102874572e-09
"SLC16A3",22.1122698843792,1.18432778970056,0.177537626943934,6.67085513131577,2.54317171070038e-11,4.92479146606389e-09
"SPHKAP",2.843490154958,-1.72732434647387,0.259134849662489,-6.66573542201531,2.63343301572595e-11,5.05147108573168e-09
"COL12A1",4.90704520229948,1.47999840612751,0.222763631998801,6.64380623016361,3.05684393975734e-11,5.80886054458747e-09
"PKMP3",3.33039769882156,-0.830643689517929,0.125067363253149,-6.64157033387379,3.10358588840675e-11,5.84307517305320e-09
"METRNL",22.7764942018297,0.94135460191476,0.141807879237098,6.63823905257651,3.17452730587232e-11,5.92180401011945e-09
"FUT9",5.18319001112375,-1.07375628747091,0.161982578848386,-6.62883808311221,3.38339455445843e-11,6.25405104325483e-09
"NAP1L3",29.8753817347698,-0.842745338460443,0.12722552315368,-6.62402729869273,3.49542168698964e-11,6.32557374287556e-09
"RP11-266K4.9",3.95614302708523,-0.93683498478521,0.141394097788029,-6.62570078554245,3.45604605016285e-11,6.32557374287556e-09
"ZBTB8OS",20.0528957348744,0.481760783103182,0.072738541689752,6.6231845169238,3.51541746394992e-11,6.32557374287556e-09
"SLC20A1",22.261698461088,0.881794491603645,0.133168589171732,6.6216402613269,3.55234723328202e-11,6.33595406090555e-09
"NBR1",44.3842398010592,-0.308008378663786,0.046533076948478,-6.61912770145883,3.61324618776317e-11,6.38853345528595e-09
"DDOST",72.0841144272326,0.437106907119368,0.0660941474698184,6.6133980670372,3.75596661051681e-11,6.58362664583090e-09
"FCHSD2",30.7764195479328,-0.626201342256127,0.0948132166532765,-6.60457860580861,3.98649646006628e-11,6.79316804632792e-09
"LGALS1",451.823292482153,1.0305424852055,0.156083457469685,6.60250933642762,4.04255807606196e-11,6.79316804632792e-09
"PSMC4",51.7838234123538,0.378122814394126,0.0572672909526553,6.60277111251398,4.03542351983619e-11,6.79316804632792e-09
"RP11-513M16.7",3.10841277916896,-1.19412311688956,0.180815032428667,-6.60411416490304,3.99901271900269e-11,6.79316804632792e-09
"SERP2",20.9002634304675,-0.816922681825381,0.123646285841897,-6.60693264066141,3.9236445294588e-11,6.79316804632792e-09
"SCG3",123.811233857646,-1.22418736438096,0.185464121555944,-6.60066946701437,4.09305204790785e-11,6.82164158115659e-09
"ADM",19.888032576853,1.52472962775286,0.231309190063283,6.59173821557074,4.34706618404447e-11,7.18608916424197e-09
"SERINC1",156.89574955879,-0.525485003652643,0.0798606945420874,-6.58002045519035,4.70383551556006e-11,7.71315222079699e-09
"CTSL",105.118303557549,0.888581953855426,0.135156720538746,6.57445630756256,4.88312659519054e-11,7.81800102834719e-09
"EDEM2",12.1743856371059,0.491784577787478,0.0747767084659506,6.57670801345063,4.8097796160135e-11,7.81800102834719e-09
"LRRTM4",4.72168787680246,-1.06541703184777,0.162040551706216,-6.57500249554442,4.86523520199797e-11,7.81800102834719e-09
"C19orf53",107.175738265486,0.552622373746721,0.0841372833070354,6.56810336661431,5.09601627640412e-11,8.09510148032226e-09
"TMEM136",8.81348943297677,-0.519831583616496,0.0792510843281543,-6.55929932092832,5.40611920306622e-11,8.52113346945314e-09
"ATAD1",20.4748319095278,-0.506866087277532,0.077306844933784,-6.55654861754713,5.50673720368017e-11,8.6129605817253e-09
"PRPSAP2",24.642444173412,-0.410267403927671,0.0625870109370196,-6.55515254340101,5.55850269719009e-11,8.62755994976841e-09
"ETNPPL",49.1562433699745,-1.69668816854996,0.258889867709601,-6.55370634455709,5.61262867685913e-11,8.64557415807399e-09
"KDELR2",47.7170541166811,0.534727420567267,0.0817816347516123,6.53847801149176,6.2148020105287e-11,9.3800605985783e-09
"PLXND1",53.6514339784794,0.780266675191306,0.119332697870084,6.53858237614619,6.2104675726927e-11,9.3800605985783e-09
"PPP1R9A",5.18507286382085,-0.728734173829602,0.111458528151666,-6.53816433712445,6.22784724737162e-11,9.3800605985783e-09
"CALN1",5.46701546100406,-1.62240290822852,0.248324289652584,-6.53340400368537,6.42914082215937e-11,9.61203826007107e-09
"RP11-277L2.5",8.10148533338987,-1.07783829782998,0.16513230584128,-6.52711952599977,6.70465430709896e-11,9.95078365155059e-09
"MRGBP",10.7813240466032,0.487152257086451,0.0746887553805992,6.52243104874381,6.91768671890927e-11,1.01925597141726e-08
"TNKS2",13.4593229179046,-0.453509674309242,0.0695722157960347,-6.51854578900863,7.09922671798523e-11,1.03847897019276e-08
"NOG",6.09847295905598,-1.2927770384298,0.198364351468479,-6.51718430685481,7.1639382489708e-11,1.04045968868802e-08
"CTSB",437.056203894595,0.864952987223495,0.132865921143327,6.50996869460938,7.51664683089523e-11,1.05746866606036e-08
"DNAJC18",13.1595071701156,-0.406037690746,0.0623632573831517,-6.51084801827072,7.47277224312763e-11,1.05746866606036e-08
"ERRFI1",13.2210739640655,0.851787149366852,0.130856789740929,6.50930800803859,7.54977798212035e-11,1.05746866606036e-08
"KCNIP2",24.7562970057017,-1.44062182458029,0.221381317544028,-6.50742276070239,7.6451037186285e-11,1.05746866606036e-08
"KIAA1109",21.6377633396093,-0.456480042508972,0.0701453304799981,-6.50763264475798,7.63443318230882e-11,1.05746866606036e-08
"NRG3",6.45426906084295,-1.06662798101098,0.163849408435047,-6.50980672556902,7.5247558397316e-11,1.05746866606036e-08
"RNF141",32.7798419556213,-0.495173106013392,0.0760802754822711,-6.50856089669105,7.58741509974877e-11,1.05746866606036e-08
"ESYT1",17.8764405070214,0.533456524273284,0.0819902570427927,6.50634043011793,7.70036150743888e-11,1.05791520628888e-08
"SUMO2",176.435108171318,0.558769779533891,0.0859620430268727,6.50019194354435,8.0217594748773e-11,1.09467406310524e-08
"ANKRD46",22.2290250776166,-0.57740656321702,0.0889206708748386,-6.49350210177515,8.38635956795376e-11,1.1292705238093e-08
"NRXN1",30.9676558870913,-1.00738558663495,0.155132305562366,-6.49371891291825,8.37429313540806e-11,1.1292705238093e-08
"PSMD8",89.7955643148688,0.429283935896771,0.0661584292494067,6.48872624043776,8.65650933939156e-11,1.15797897630164e-08
"WIPI1",14.1865562746793,0.794863437403042,0.122679316670238,6.47919681146933,9.2212158907019e-11,1.22545740330485e-08
"GDPD1",8.88963451683307,-0.736612562380807,0.113781795722294,-6.47390522978426,9.55018145459451e-11,1.26093402283292e-08
"ATP5S",11.6901661367666,-0.459019425942922,0.0709470996768123,-6.46988288504968,9.8078904148413e-11,1.28660539229012e-08
"AC010441.1",17.9628501465486,1.07235373638751,0.165967176866008,6.4612398465587,1.03848567854991e-10,1.31784948072828e-08
"APC",21.7960117563602,-0.576962404476696,0.0893043108329251,-6.46063330085046,1.04265700595475e-10,1.31784948072828e-08
"GRID2",4.56392712523269,-1.14356069028233,0.177007755418706,-6.4605117870529,1.04349464612823e-10,1.31784948072828e-08
"MINOS1-NBL1",1.33049959346739,2.64640637783311,0.409389709869241,6.46427185157724,1.01787740273901e-10,1.31784948072828e-08
"PTTG1",29.6130057895882,1.07033488770155,0.165571437424865,6.4644899165489,1.0164107432982e-10,1.31784948072828e-08
"SLC9A6",15.0321284015469,-0.596798452043602,0.0923749596455407,-6.46060852782642,1.0428277223376e-10,1.31784948072828e-08
"GMPPA",19.1314802467746,0.444424424652633,0.0688030427564996,6.45937166217332,1.05138606571186e-10,1.31961931321724e-08
"MTSS1L",206.977824750907,-0.697923873932906,0.108119179807008,-6.45513474277825,1.08122657981581e-10,1.34874724217146e-08
"DIMT1",16.9209607025832,-0.345223861796888,0.0535121883515823,-6.45131272764853,1.1088541399908e-10,1.37477629441664e-08
"TPM4",143.466871069235,0.691498335356216,0.10727013259281,6.44632684459425,1.14593399498147e-10,1.41213793454292e-08
"CCDC34",8.22897705692816,0.782501273583904,0.121464803003043,6.44220592498966,1.17749366306053e-10,1.42511777684582e-08
"ERGIC3",132.643519313323,0.367148248389869,0.0569856173136322,6.44282304373736,1.17271400042513e-10,1.42511777684582e-08
"RP11-802E16.3",2.54814214021588,1.42177992793417,0.220642255447911,6.44382430304618,1.1649994376957e-10,1.42511777684582e-08
"ERBB4",3.37941416716275,-0.968368390574054,0.15033955161113,-6.44120845244269,1.18525950478934e-10,1.42602849176815e-08
"ACTB",2497.85515198371,0.624629009474117,0.0970517019051556,6.43604385304381,1.22627618055927e-10,1.46669844584187e-08
"COL6A1",106.029848782151,1.01275164488839,0.15743273745755,6.43291643938713,1.25178476452567e-10,1.47416306064281e-08
"PMM2",7.86148930636943,0.581302128228251,0.0903457792594263,6.43419242153031,1.24131525473979e-10,1.47416306064281e-08
"RARRES1",3.86646805097579,1.80271611072188,0.280246214481727,6.43261538449586,1.25426749368616e-10,1.47416306064281e-08
"CAMSAP2",20.9880177448687,-0.502008515383399,0.0780553697186916,-6.43144113201458,1.26399735748681e-10,1.47706082010226e-08
"PRLHR",3.24623019660977,-2.2819961284658,0.354976584682381,-6.42858212889632,1.28799658248443e-10,1.49650482923748e-08
"HINT3",17.7931508451667,-0.467067219117753,0.0726677440772264,-6.42743524033697,1.29774852636357e-10,1.49926822650855e-08
"CCSER2",19.8780811720923,-0.525698495053598,0.0818162050074004,-6.42535907166615,1.31558598781476e-10,1.5112886943637e-08
"GLUD1",140.235405363769,-0.652754367962781,0.101736117823774,-6.41615172591382,1.39762159070184e-10,1.58758881585143e-08
"SCAPER",13.0630067708295,-0.494184365867351,0.0770125403466841,-6.4169337051174,1.39046435910204e-10,1.58758881585143e-08
"LILRB3",2.48384827274408,1.6188671185665,0.252436724504289,6.41296198778317,1.42719115456887e-10,1.61217098588049e-08
"RP11-338K17.8",1.29360862227153,1.90161488409296,0.296681742730467,6.40961208664789,1.4589035753202e-10,1.63888875121468e-08
"PBLD",4.92567468567753,-0.624918456834811,0.097723584196599,-6.39475579996747,1.6080413861444e-10,1.79650030244363e-08
"COL1A2",108.347262276539,1.63764716431547,0.256408772915916,6.38686089283108,1.69325534641153e-10,1.86632629816607e-08
"RP11-521B24.5",14.1864722669114,2.12242350561564,0.332265850771155,6.38772687800963,1.68369702864166e-10,1.86632629816607e-08
"ZDHHC22",25.2890447418046,-1.31365568230258,0.205694976266681,-6.38642569762833,1.69807881355788e-10,1.86632629816607e-08
"EMILIN1",19.1918195088779,1.06741763124576,0.167413063177606,6.3759518581495,1.81830041085066e-10,1.98771517493691e-08
"CRABP2",7.79195880977415,1.21233327727428,0.19021628094015,6.37344643309332,1.84826851883002e-10,2.00967079108935e-08
"OCIAD2",38.0344873496087,1.45089236597719,0.227876550817393,6.36701038686446,1.92748127139726e-10,2.08465301549577e-08
"MANF",54.0119533856696,0.579846809071154,0.0911055959507113,6.36455755566162,1.95853471325214e-10,2.09769535540633e-08
